id,title,url,curator,Notes/comments/questions,Map territory,Close to,logo image url,homepage image url,description,key concepts,methods,locations,start,end,main sector,sector 2,sector 3 ,main activity,activity 2 ,activity 3 ,size,learning resources,connections,key people,theory of change,,,,,status
global-humanity-for-peace-institute,Global Humanity for Peace Institute,https://ghfp.institute/ ,Elisa,"6 - academic institution focusing on positive peace, good governance, wellbeing, and human-centred education",,,https://drive.google.com/file/d/1uVv4RySMYP81ccIcHZ8SlLrpsELQSTqi/view?usp=drive_link,https://drive.google.com/file/d/1YfMtn7BnRiyDOb6fH2R4TdlRCNWmiBwW/view?usp=drive_link,"The GHfP Institute carries forward a number of major international research programmes previously developed at the Guerrand-Hermès Foundation and is embedded in an excellent research and teaching environment and learning community of the UWTSD.

The Institute seeks to engage in cutting-edge research aimed at new understanding, innovation, policy change, and social transformation. It offers masters courses and doctoral and professional programmes in positive peace (including collective healing), public health and well-being, social justice, intercultural/interfaith/intergenerational dialogue, human-centred education, and community regeneration.",,,"Lampeter, UK",2021,present,Relations & Peace,Governance & Community,Health & Wellbeing,Education & Training,,,4-10,,,,,,,,,✅
goi-peace-foundation,Goi Peace Foundation,https://www.goipeace.or.jp/en/,Catherine,2 - see their theory of change material https://www.goipeace.or.jp/en/about/vision/ and https://www.goipeace.or.jp/en/about/approach/,Wisdom,,https://drive.google.com/file/d/1E3eS88Sx-suJZkXvxzrlhnolc6647Wc7/view?usp=drive_link,https://drive.google.com/file/d/1s9WjMUXobS6vCSpGjdaV_59HyuBW-QSZ/view?usp=drive_link,"""Based in Japan, the Goi Peace Foundation is a public benefit organization supported by members around the world working together to create a culture of peace. Our mission is to foster a sustainable and harmonious global society by promoting consciousness, values and wisdom for creating peace, and building cooperation among individuals and organizations across diverse fields, including education, science, culture and the arts.

To achieve this mission, we engage mainly in the following activities:
- Public events including conferences, symposia and lectures to inform and inspire the public to expand their visions, and to engage their participation in contributing to a better world.
- Educational programs for young people designed to nurture inner peace, respect for life and global awareness, emphasizing the leading role they can play in fostering world peace and sustainable development.
- International collaboration with organizations and partners worldwide to promote global dialogue and outreach for advancing the cause of peace.
- Interdisciplinary research and studies to advance new worldviews, perspectives and practices that will support personal and social transformation toward a new civilization.

The Goi Peace Foundation embodies the spirit of Masahisa Goi (1916-1980), a Japanese spiritual teacher, philosopher, poet and author who dedicated his life to peace and humanity""
https://www.goipeace.or.jp/en/about/ ",world peace; consciousness; wisdom; new civilization,,"Tokyo, Japan",1999,present,Relations & Peace,Spirituality & Religion,,Events & Retreats,Education & Training,Research,11-20,"Publications which were produced, in whole or in part, by the Goi Peace Foundation to introduce the visionary work of individuals and organizations that are making a positive impact in the world: https://www.goipeace.or.jp/en/media/publication/",,,"See their ""Declaration for All Life on Earth"" for their guiding vision: https://www.goipeace.or.jp/en/about/vision/",,,,,✅
good-grief-network,Good Grief Network,https://www.goodgriefnetwork.org/,Elisa; Ola,6 - A peer-to-peer support group for people overwhelmed by eco-distress and collective trauma from social and ecological injustices. They run transformative programs for processing eco-anxiety and climate grief,Personal Healing,,https://drive.google.com/file/d/1JU2dKlI8HtYOLnxhdHks48M1Ls3AQu_N/view?usp=drive_link,https://drive.google.com/file/d/1NJozQ4fwPzKfVQsWFLBq13OsdvMLa297/view?usp=drive_link,"""Good Grief Network (GGN) is a nonprofit organization based in the United States that brings people together to metabolize collective grief, eco-distress, and other heavy emotions that arise in response to daunting planetary crises.

GGN runs peer-to-peer support groups that help folks recognize, feel, and process their heavy emotions, so that these feelings may be transformed into meaningful action. With the help of Aimee Lewis Reau, LaUra Schmidt crafted GGN’s flagship program, “10 Steps to Resilience & Empowerment in a Chaotic Climate,”  which is inspired by the 12-Step family groups, specifically Adult Children of Alcoholics.

Good Grief Network creates spaces to gather in community, process the painful feelings and realities of our time, and commit to meaningful action.""

https://www.goodgriefnetwork.org/about/",collective grief; eco-distress; community; mutual care; interdependence; emergence,12-Step program,"Michigan, USA; global",not found,present,Health & Wellbeing,,,Community Spaces,,,1-3,"https://www.goodgriefnetwork.org/book/
https://www.goodgriefnetwork.org/podcastandresources/#why
https://www.goodgriefnetwork.org/parents/
https://www.goodgriefnetwork.org/podcastandresources/#foryourmind
https://www.goodgriefnetwork.org/podcastandresources/#foryourmind",,"LaUra Schmidt -FOUNDING DIRECTOR, Aimee Lewis Reau -COFOUNDER, Sarah JS -EXECUTIVE DIRECTOR","runs peer-to-peer support groups that help folks recognize, feel, and process their heavy emotions, so that these feelings may be transformed into meaningful action.

Themes, 
Decentralization, 
ADAPTABILITY,
DISCERNMENT, 
EMERGENCE,
INTERSECTIONALITY, 
innovative communities,
peer-to-peer support groups,
mindful conversations and practice active listening and forgiveness,
INTERSECTIONALITY",- the eco-distress and collective trauma from social and ecological injustices,,"- peer-to-peer support groups that help folks recognize, feel, and process their heavy emotions, so that these feelings may be transformed into meaningful action
- invest in relational actions, to help folks build strong and emergent communities of mutual care",,✅
guardian-of-life-collective,Guardian of Life Collective,https://www.guardianoflife.org/ ,Catherine,"hard to get a sense of what they're really actually doing. Nice ideas and language though... ""We are looking to tackle the deeper root cause - the mindset and culture that create and develop any manmade system"". 5. Sound very aligned, but just don't get a concrete sense of what they're doing. ",,,https://drive.google.com/file/d/1nvYiGnsCVIg50b_VRMcpomt5xiIZ46_s/view?usp=drive_link,https://drive.google.com/file/d/1UzuF9l0Jzia-WKndpefKWfVVGxX989rv/view?usp=drive_link,"""Guardian of Life collaborates through collective action of its networks, loosely interdependent and independent, united in diversity through Guardian of Life essence. It is not a process as most humans have understood it to be in this present time. It's an embodied / immersive / experiential living system process where the process is not in the system but in the being of the person (also a living system / nature). [...]

For this collaboration to be deeply meaningful, we explore together how to move our hearts, minds and hands for collective action. This is supported by the practical realisation of our collaborations through experimentation and prototyping of independent and interdependent initiatives, based on timeless and modern knowledge, and time tested tools.

This culture allows for designing systems, processes and governance that is true and of integrity to living systems: co-creating conditions from all living forms to thrive and live as an organism rather than individual entities.

From this essence we can then experiment to act locally, connect and collaborate regionally and learn globally (through online and offline platforms), finding a multitude of unique and regional ways on how live in emergence and as a living organism.

LIVING MISSION
Through deep listening and nature-connection, we co-create a regenerative culture of care, learning and celebration that embodies interdependency and values meaningful connection.""

https://www.guardianoflife.org/what-we-do ",,,"Stockholm, Sweden",2019,present,Relations & Peace,Governance & Community,,"Design, Development & Innovation",,,4-10,,Ekskaret Foundation is a partner and donor,,,,,,,✅
guerilla-foundation,Guerilla Foundation,https://guerrillafoundation.org/,Catherine,"Interviewed Romy Kraemer as part of 2020-2021 mapping work. Seeking radical transformation and seem to have inner-led approach, e.g. publish their process for managing power and conflict in their team on their website. 4. ",,,https://drive.google.com/file/d/1P4TB_3aE1iBSfH860PfBsWQTht0jdwi5/view?usp=drive_link,https://drive.google.com/file/d/1K-7BLjSUYhhUjJHvIYAvgJOiS--XbvyM/view?usp=drive_link,"""True to our name, the Guerrilla Foundation resources activists & grassroots movements in building pockets of resistance while carrying out radical societal transformations needed to cultivate a living, circular economy with a deeply democratic society that prioritises social & ecological wellbeing.""
https://guerrillafoundation.org/

""The Guerrilla Foundation supports activists and grassroots movements working towards bringing about major systemic change across Europe in line with frameworks such as the Just Transition, the Great Transition, Buen Vivir, intersectional thinking, new municipalism. We see people's movements as a key vehicle for redirecting the global trajectory toward a socially equitable, culturally enriched, and ecologically resilient planetary civilization. We fund and support social movements and urgent actions in order to weave a new narrative shifting from an extractive economy, exploitative labour, and militaristic governance to a living economy with cooperative labour and a deeply democratic society that prioritises social and ecological wellbeing.   In short, we: 1. Make grants to advance the work of grassroots social movements for systems change. 2. Radically change philanthropy and work with people of wealth & privilege to increase the pie for social justice grant-making in Europe. 3. Tell stories to re-articulate distorted narratives and uplift radical, imaginative, moral ones. 4. Build networks, while reorganising power and fostering learning in the field. 5. Live our values in our day-to-day work and processes.

Our values are a constant challenge and compass. They guide us in how we go about our mission as well as our day-to-day work whether that is making grants, changing philanthropy, writing & storytelling, and how we show up in relationship with people.""
https://guerrillafoundation.org/about/mission-values/ ",,,"Berlin, Germany",2016,present,Economics & Business,Justice & Restoration,Governance & Community,Funding,Convening & Coordination,Advocacy & Activism,4-10,"Activist resources: https://guerrillafoundation.org/more-cool-stuff/activist-resources/
Resources for radical funders: https://guerrillafoundation.org/donor-engagement/resources-for-radical-funders/
List of recommended grantmakers in their network: https://docs.google.com/spreadsheets/d/12NQWW4ab4xSVtGH9kS0xmI1dpCnz5wayzL5g8KM9miA/edit#gid=1596073677",,,,,,,,✅
h3uni,H3Uni,https://www.h3uni.org/,Matthew; Elisa,,Alternative Education,,https://drive.google.com/file/d/1FFJ3gpzI7_2RnrXJlN5rvHARWSFu3L62/view?usp=drive_link,https://drive.google.com/file/d/16cwOGG4t9ns2XcGWosarQzueE-r2z3NM/view?usp=drive_link,"""H3Uni, an educational charity, offers purposeful people and groups powerful methods to access, activate and enliven their innate collaborative wisdom, that will help us to navigate the deepening uncertainties of the 21st century.""

https://www.h3uni.org/about/",wisdom; education; anthropocence; collective repatterning; third horizon,Three Horizons; Visual Facilitation and Hexagon Clustering; The World Mandala; Dilemma Navigation; The Wheel of Wisdom,"Scotland, UK",not-found,present,Education & Learning,,,Education & Training,Events & Retreats,,1-3,https://www.h3uni.org/resource-library/,,,,"""The ecological, societal, political and economic effects [of the Anthropocene] challenge the viability of current ways of life.""

https://www.h3uni.org/about/","""Cleverness has led to the Anthropocene, and cannot contain its momentum, let alone reverse it. It is urgent to become clever and wise, to collectively repattern living activities in collaboration (not contest) with nature.""

https://www.h3uni.org/about/","""A quest for wisdom draws upon three vital sources of learning-in-action: personal authenticity and whole-body engagement; the complexity and contextual variety of a common purpose; with integrity and collaborative skills of collective endeavour.""

https://www.h3uni.org/about/","""We stand for a vision of a different kind of relationship between humans, life and the planet that we explore in the creative space of the future that we call the third horizon.""

https://www.h3uni.org/",✅
healthy-food-healthy-planet,Healthy Food Healthy Planet,https://www.healthyfoodhealthyplanet.eu/,Catherine,8. more outer systems change,,,https://drive.google.com/file/d/1WyCc6uduqYGyN0Ll5_8WGfhEKtlAte56/view?usp=drive_link,https://drive.google.com/file/d/1pMnklHBi3IjfbxJSFK9CNKagui_DvSnN/view?usp=drive_link,"""A Pan-European movement uniting civil society and funders in the transition to healthy, just & sustainable food environments. [...]

We bring together stakeholders from different sectors (health, food, climate change, biodiversity, animal welfare, labour rights and just transitions) with a shared belief that the current food system is unsustainable, unhealthy, and unjust.

Started to ponder over the initiative’s concept in 2020, it was in 2021 that over 120 civil society groups and funders co-created a strategic framework, imagining a food future where all people are able to eat healthy, just and sustainable diets with a lot of plant-based and little and nature-friendly animal-based foods.

In this future, foods are produced in ways that regenerate ecosystems, protect animal rights, and support workers.

Overall our first and foremost priority  is to decrease the consumption of harmful animal-sourced foods and to promote sustainable plant- and pasture-based foods in Europe through changing food environments.

HFHP aims to be a movement of movements by lifting up and building bridges between campaigns and networks within and between European countries, connecting and catalysing civil society to break down silos, and driving systemic change.""
https://www.healthyfoodhealthyplanet.eu/about/who-we-are ",,,UK; France; Germany; Netherlands,2021,present,"Environment, Food & Water",,,Advocacy & Activism,Education & Training,Funding,1-3,,,,,,,,,✅
home-for-humanity,Home for Humanity,https://www.homeforhumanity.earth/ ,Catherine,"4. Strong emphasis on multidimensional integration. Strongly informed by integral theory, e.g. see theory of change",,,https://drive.google.com/file/d/1s0vZAZHqiqkIPK8v8RUvO15n6N0qy4UP/view?usp=drive_link,https://drive.google.com/file/d/1I2gIntoQDrzIVJmVs60vn_kwjBZfYfAE/view?usp=drive_link,"""Home for Humanity is an inclusive movement for planetary regeneration.

We activate the power of our homes to pioneer regenerative futures.

Together, we strive to transform our divided world into a united, inclusive, regenerative, just and peaceful home for humanity and the diversity of life on Earth. [...]

We catalyse the power of Home:
... of the INNER HOME of our humanity, to fulfil our unique purpose and potential as agents of transformation. 

... of the LOCAL HOMES we live and work in, to make them integral pioneers of personal, local and societal regeneration.

... to serve the one EARTH HOME we share, drawing on the wisdom and innovations of every geography, culture and country to shape together an inclusive and regenerative future for the indivisible family of life on Earth.

​This is the transformative work of the Home for Humanity Movement for Planetary Regeneration, active locally and globally, on all continents.""
https://www.homeforhumanity.earth/ ",,,France; Zimbabwe; Egypt; Brazil; India; Nigeria; Sri Lanka; Jordan; Morocco; Jerusalem ,2019,present,Arts & Culture,Education & Learning,Relations & Peace,Convening & Coordination,Education & Training,Art Production & Curation,4-10,,"Global partner organisations include: Holomovement, Wholeworld-View,Charter for Compassion, Learning Planet Institute, Wellbeing Economy Alliance, Source of Synergy Foundation, YouthxYouth, Kosmos https://www.homeforhumanity.earth/partnerorganisations ",,https://drive.google.com/file/d/1vws8dabCPjQh-6uRCr0AmazR0crUXXq8/view?usp=drive_link,,,,,✅
human-systems-dynamics-institute,Human Systems Dynamics Institute,https://www.hsdinstitute.org/index.html,Lauren,"Likely located somewhere on the left side of the map - relational practices

CT: at a glance not sure i would put this in relational practices. to review later",,,https://drive.google.com/file/d/1uJgBSancgaXheAbHlEtJPg6t7Uzuv_d0/view?usp=drive_link ,https://drive.google.com/file/d/1NwDo8CvcMKEyGL8mOdsb1NG-pLoWEAS2/view?usp=drive_link ,"""Nothing is intractable because . . .
Human systems dynamics (HSD) creates opportunities out of chaos. Our methods give you power to see patterns in complexity. You will understand your most wicked problems in new and useful ways. Most important, you will take innovative action to move past biggest challenges and toward future success.

We build capacity among individuals, teams, communities to deal with the complexity of day-to-day existence. In public and private Adaptive Action Labs, we guide clients through innovative design, implementation, and assessment cycles to find breakthrough responses to intractable issues. In research and writing we create and disseminate perspectives, models, and methods for thriving in the 21st century.""

https://www.hsdinstitute.org/about-hsd-institute.html ",,,"Minnesota, USA",2023,present,Governance & Community,,,Education & Training,Consulting & Advisory,Research,1-3,HSD-informed resources: https://www.hsdinstitute.org/resources.html ,Partners: https://www.hsdinstitute.org/about-hsd-institute/institutional-partners.html ,"Glenda Eoyang, Founding Executive Director",,,,,,✅
ijeruka,Ijeruka,https://www.ijeruka.com/ ,Ola,I like the fact that it's afro-centric mixed with conversations on the edge,Wisdom,,https://drive.google.com/file/d/1W4-hgp-N9gnOjShdEYTx5WaHEhDKCDua/view?usp=drive_link,https://drive.google.com/file/d/10yZb1A-4BjhQ7Glnl7iX4zVYDpgN3A3k/view?usp=drive_link ,"""Ijeruka is a vibrant virtual education platform uniting the global African diaspora through collective learning and exploration. Through Ijeruka, we honor, amplify and advance our boundless creative capacity and unique insights and perspectives as people of African descent, by engaging in transformative conversations that span culture, consciousness, social and systems change.

Explore timeless traditional knowledge and paradigm-shifting perspectives on the most important topics of our time.""

https://www.ijeruka.com/about ",,,"Lagos, Nigeria; online",2022,present,Education & Learning,,,Education & Training,Events & Retreats,,1-3,https://www.ijeruka.com/library,,"Anwulika Okonjo, Founder",their theory of change is centered around afro-centrism,,,,,✅
inner-green-deal,Inner Green Deal,https://innergreendeal.com/,Danielle,The white paper/report they published looks very interesting,,,https://drive.google.com/file/d/1sFCffP7rNmk4sGSLB0UwaSbWptIBrmBA/view?usp=drive_link,https://drive.google.com/file/d/1OTfMuHgYKVmJIqPuggY3KaQU9MkYGAFM/view?usp=drive_link,"""The Inner Green Deal gGmbH (IGD) is a non-profit leadership development organisation based in Brussels and Cologne with a growing community around the world. Its mission is to accelerate the green transformation through inner development, reconnection to nature and collaboration. The Inner Green Deal works with large systemic organisations such as the EU and the UN as well as with community leaders and facilitators."" 

https://innergreendeal.com/wp-content/uploads/Inner_Green_Deal_-_The_Human_Dimension_of_the_Green_Deal.pdf","human dimension of sustainability, mindfulness-based sustainable transformation",,"Cologne, Germany; Brussels, Belgium",2019,present,Education & Learning,,,Education & Training,,,21-50,https://innergreendeal.com/wp-content/uploads/Inner_Green_Deal_-_The_Human_Dimension_of_the_Green_Deal.pdf,,,,,,,,✅
institute-for-integral-studies-freiburg-(ifis),Institute for Integral Studies Freiburg (IFIS),https://www.ifis-freiburg.de/en/organization/about-institute ,Elisa,5,Integral,,https://drive.google.com/file/d/1q8iXXavM-bWR2XrKGMI2NN9VZ0DBqcrf/view?usp=drive_link,https://drive.google.com/file/d/1eZAM6sjhw-bCWI4m_QAjeF8kvz9106YE/view?usp=drive_link,"""The Institute for Integral Studies (IFIS) is an independent research institute, yet linked to numerous universities in Germany and other European and non-European countries through its members and advisory board members.

IFIS sees itself as a transnational, inter- and transdisciplinary think tank based on an integral understanding of science that recognizes the uniqueness and significance of a multitude of perspectives, relating them to each other and seeking overarching structures between them.

As a vessel of a community of integral researchers, the Institute carries out basic, theoretical and applied research. It acts as an experimental field for integral research and practice in a committed and respectful dialogue with various areas of society (e.g. science, politics, economics, art and religion).""

https://www.ifis-freiburg.de/en/organization/about-institute",integral studies; integral consciousness; complexity; multiple perspectives; interdisciplinary; transdisciplinary,integral; interdisciplinary; transdisciplinary,"Freiburg, Germany",2008,present,Education & Learning,,,Education & Training,Research,Events & Retreats,21-50,,,,,,,,"to put an integrally informed science in service of society, the planet and a healthy development of both.",✅
international-fellowship-of-reconciliation,International Fellowship of Reconciliation,https://www.ifor.org/,Boaz; Elisa,"Activist organisation campaigning for peace, human rights, etc. - 10. I've put it in 'critique of power', even though it's not a neat fit.",Critique of Power,,https://drive.google.com/file/d/1NUMlPinD2736_bWNlBq5QUbPNNWqXy9X/view?usp=drive_link,https://drive.google.com/file/d/1bOx7DQi2ofZm3UuwYPkdMya2BuvXzAvX/view?usp=drive_link,"""Founded in response to the horrors of war in Europe, the IFOR has taken a consistent stance against war and its preparation throughout its history.
Perceiving the need for healing and reconciliation in the world, the founders of IFOR formulated a vision of the human community based upon the belief that love in action has the power to transform unjust political, social, and economic structures.

Today IFOR has branches, groups, and affiliates in over 40 countries on all continents. Although organized on a national and regional basis, IFOR seeks to overcome the division of nation-states which are often the source of conflict and violence. Its membership includes adherents of all the major spiritual traditions as well as those who have other spiritual sources for their commitment to nonviolence.""

https://www.ifor.org/#mission",world peace; human rights; justice; conflict; nonviolence; interfaith,,Netherlands; global,1914,present,Justice & Restoration,Relations & Peace,Governance & Community,Advocacy & Activism,Convening & Coordination,,4-10,,,,,,,,"""IFOR members share a vision of a world where conflicts are resolved through nonviolent means, where systems that foster fear and hatred are dismantled, and where justice is sought as a basis for peace. While coming from diverse religious backgrounds, we have a common belief in the transforming power of nonviolence and reconciliation.""

https://www.ifor.org/mission",✅
korogonas-arc,Korogonas Arc,https://korogonasarkcommunity.wordpress.com/,Elisa,4 - ecovillage and intentional community focused on regenerative agriculture as well as personal and collective transformation,Intentional Community,Regenerative Alternatives,https://drive.google.com/file/d/1LQhNbbs5KAfADp-sEHv8hqjoYKRD02K9/view?usp=drive_link,https://drive.google.com/file/d/1utQi7uCv0hrvPylq2Wcom7oFRELStVoE/view?usp=drive_link,"""Korogonas Ark is a multi-faceted, multi-coloured, long-term project, a contemporary ark for the preservation and dissemination of traditional values, information, old and contemporary knowledge as well as elements and methods among which seeds’ banks, natural, organic and sustainable farming, protection of various plants’ varieties,  especially wild varieties, water and Mother Nature’s elements. [...]

The Ark identifies itself as a core entity both for personal growth and empowerment as well as for social transformation, working upon and spreading the qualities and practices of unity, peace interactions,  offering, empathy, spirituality in action.""

https://korogonasarkcommunity.wordpress.com/2017/07/31/first-blog-post/",ecovillage; permaculture; regenerative practices; empowerment; ritual; peace; holistic health; community; experiential learning,,"Lakonia, Greece",2013,present,"Environment, Food & Water",Governance & Community,Relations & Peace,Community Spaces,Education & Training,Consulting & Advisory,4-10,,,,,,,,,✅
leaders'-quest,Leaders' Quest,https://leadersquest.org/,Danielle,"I got a good vibe looking at their website, I also like the diversity of their team",,,https://drive.google.com/file/d/1OZlXOpUlLMPefBnSNrPcATqVep71n3qh/view?usp=drive_link,https://drive.google.com/file/d/1sFsShDqv7ofnfNlMrYbOXsIfmuKNatiY/view?usp=drive_link,"""We immerse leaders in the forces shaping the future – so they can shape the future of their organizations. We help companies align strategy, culture, and skills by creating purposeful change that sticks across three levels:

INDIVIDUAL
Transformative experiences that inspire leaders to see the world in new ways — generating a renewed sense of purpose, commitment, and ambition.

ORGANIZATIONAL
Building ambitious, future-fit leadership, breaking down siloes, and adapting in a rapidly changing world.

SYSTEMIC
Enabling collaboration across sectors to reimagine the future and accelerate solutions to complex, multigenerational challenges.""

https://leadersquest.org/",,,"London, UK; New York, USA; Mumbai, India",2001,present,Governance & Community,,,Education & Training,Consulting & Advisory,,51-100,https://leadersquest.org/insights/,,,,,,,,✅
leap-collective,Leap Collective,https://leapcollective.org/,Cesar,Quite new collective that participates in/with other networks part of this list. Interesting vision to incorporate underfunded and under engaged communities based in Europe in Climate action.,Alternative Economics,,https://drive.google.com/file/d/1bJ451i9Q8cMFSo0A3XG3eB73DoyHjmpf/view?usp=drive_link ,https://drive.google.com/file/d/1Bh7EIo2C4NRWdGwj2dAct7R6qW8_e0L3/view?usp=drive_link ,"""We are activists, social entrepreneurs, foundation staff, and philanthropists working towards systemic change in philanthropy.

Our goal is to contribute to a philanthropic sector that shares power, to support systems transformation in a radically transparent way. Experiments are Leap’s method of disruption and creation in philanthropy. We seek out important projects that need, but do not receive, funding, and help connect them with resources, people and institutions.""

https://leapcollective.org/   ",,,Germany,2020,present,Economics & Business,Justice & Restoration,,Funding,Convening & Coordination,Education & Training,4-10,,,,,,,,,✅
life-itself,Life Itself,https://lifeitself.org/,Catherine,example,Wisdom,,https://drive.google.com/file/d/1C3m1VWzm7UJ2V6sFU6U5S0kG4sXRcDXs/view,https://drive.google.com/file/d/16RuYymYltSDa3LwBF-F4Ox8VjNJjRsrd/view,"""We are pragmatic utopians, committed to practical action for a radically wiser, weller world. We create coliving hubs, start businesses, do research and engage in activism to pioneer a wiser culture. We are ordinary people who choose an extra-ordinary path, treading the middle way between Plum Village and Silicon Valley. [...]

Real change requires us to work, and even live, together – hence creating co-living spaces and businesses; and to share ideas through writing and events, ultimately engaging in politics and social change. [...]

We balance the spiritual and the rational. We like meditation as much as we like getting things done. We want meaningful work and a meaningful life. We value the environment and technology, art and science. We take action, both personal and political. We’re the middle way between the suit and the hippy, between the billionaire and the monk.[...]

Our team consists of artists, researchers, technologists and community builders. Despite these varied backgrounds, each shares a commitment to being wise and taking practical action to solve the collective challenges facing our society and culture.""

https://lifeitself.org/about",,,"Online; Bergerac, France; Berlin, Germany",2015,present,Education & Learning,Spirituality & Religion,Arts & Culture,Community Spaces,Research,Events & Retreats,4-10,,,,,,,,,✅
meridian-university,Meridian University,https://meridianuniversity.edu/,Danielle,,Alternative Education,,https://drive.google.com/file/d/1Qktq-EHnfGPOfQWdLewCYvdrCc0yqYxg/view?usp=sharing,https://drive.google.com/file/d/1iMfgbo0C37s5UXKywMYrHT3iOequr9nY/view?usp=sharing,"""Founded over 30 years ago in the San Francisco Bay Area, Meridian University enrolls students globally in its unique hybrid and 100% online graduate degree, professional certificate, and public programs. The University offers master's and doctoral programs in Business, Education, Leadership, and Psychology with diverse concentrations available within each of these programs. Meridian’s integrated, innovative curriculum is designed to be experiential and transformative.

Meridian graduates are engaged in varied professional contexts that include coaching, psychotherapy, organizational development, facilitation, social healing, social entrepreneurship, and transformative leadership.

Meridian’s graduate programs are available in two formats, hybrid and 100% online. This model supports students who are working professionals and balancing other life commitments to move forward towards their personal and professional future.

Meridian is accredited by the WASC Senior College and University Commission and approved by the US Department of Education for participation in the Federal Student Aid program. WASC is the Department of Education-recognized regional accreditor for such schools as the University of California at Berkeley, UCLA, and Stanford University. Meridian’s licensable degrees have been recognized by the California Board of Behavioral Sciences and Board of Psychology for over 25 years

Vision and Mission
The evolution of human beings expresses the earth’s deepest potentials. The term Meridian evokes and symbolizes the earth as inhabited and imagined by humans. The culture that humans have imagined into being is in urgent need of transformation. The professions of Business, Education, Leadership, and Psychology can serve to make a critical contribution to contemporary possibilities for the transformation of culture. Meridian University’s curriculum takes an integrative approach to both personal and cultural transformation within organizations, communities, and societies.

Guided by an Integral Vision, Meridian University seeks to educate leaders with the capacities, skills, and knowledge essential for transforming the professions of Business, Education, Leadership, and Psychology. The leadership capacities of courage, compassion, clarity, conscience, and embodied self-awareness, together constitute the wisdom and integrity required for transforming the professions and the wider culture. Transformative learning at Meridian catalyzes the emergence of these capacities which, along with developing creative inquiry skills and acquiring professional knowledge, actualizes Meridian’s commitment to sustaining an education that transforms.

Meridian’s commitment to public and professional engagement is developed through the Center for Transformative Learning.""

https://meridianuniversity.edu/",,,"San Francisco, USA (main campus); Athens, Greece; Los Angeles, USA; Berlin, Germany; Johannesburg, South Africa; Istanbul, Turkey",1993,present,Education & Learning,,,Education & Training,,,21-50,,,,,,,,,✅
navdanya-international,Navdanya International,https://navdanyainternational.org/,Ola,"it's area of work seem to be solely SEED FREEDOM, CLIMATE RESILIENCE, AGROECOLOGY, FOOD FOR HEALTH, WOMEN FOR DIVERSITY ",Regenerative Alternatives,,https://drive.google.com/file/d/1wkdTmKMPAPpLdWfU4W6fddNW6ViGGDCq/view?usp=drive_link,https://drive.google.com/file/d/1eS32qqkN0fCtgKRSp_f1MLsz1R11gNAg/view?usp=drive_link,"Navdanya and the Navdanya movement was created by Dr. Vandana Shiva 30 years ago in India to defend Seed and Food sovereignty and small farmers around the world. Navdanya pioneered the movement of seed saving and seed freedom, which began in response to the crisis of erosion of agricultural biodiversity and introduction of GMOs and patents on seeds through intellectual property rights (IPRs) and so-called ‘free trade’ agreements. It has long fought against biopiracy, the patenting of indigenous knowledge by self-interested multinational corporations and won cases related to Neem, basmati rice and wheat in India.

Navdanya promotes a new agricultural and economic paradigm, a culture of food for health, where ecological responsibility and economic justice replace the present greed, consumerism and competition which have become dominant in society. It aims at regaining the common good as a foundation for a renewed sense of community, solidarity and culture of peace.

https://navdanyainternational.org/about-us-navdanya-international/","sustainable agriculture, biodiversity, food sovereignty",,"Florence, Italy; India",1994,present,"Environment, Food & Water",,,Advocacy & Activism,,,4-10,"Briefing Papers
https://navdanyainternational.org/publications-category/briefing-papers/","Brot für die Welt;
Unione Buddhista Italiana;
8xMille Chiesa Valdese;
The Roddick Foundation;
Schweisfurth-Stiftung;
Erasmus+ Project of the European Union; 
Lush;
RSF Social Finance;","Ruchi Shroff (Executive Director)
 Dr. Vandana Shiva (Founder)","sustainable agriculture, biodiversity, food sovereignty",,,,"champions sustainable agriculture, biodiversity, food sovereignty and the rights of small farmers around the world",✅
new-institute,New Institute,https://thenew.institute/en,Cesar,"Academic institute using residential fellowships to produce research and events in Germany, with a very German governance and leadership. Interesting diversity of researchers in the topic focus of Black Feminism and the Polycrisis.",,,https://drive.google.com/file/d/1eFi9UVhsH3fagpESSLzujMpqHnbJO7ST/view?usp=drive_link ,https://drive.google.com/file/d/1wbSRXd-vETbM5joPNiduaszX36ENMR2V/view?usp=drive_link ,"""On the basis of humanistic and social-scientific reflection, THE NEW INSTITUTE aims to develop visions of progressive socio-economic and political futures.  All of our activities are clustered around three Research Areas: The Human Condition in the 21st Century, The Future of Democracy, and Socio-Economic Transformation. An annual theme provides focus across these areas, and structures our research activities, fellowship programs, lectures, and workshops.

Fellowships are primarily granted to research groups headed by program chairs. These groups address specific problems within The Human Condition in the 21st Century, The Future of Democracy, and Socio-Economic Transformation. Individual fellowships are also offered.

We live and work in the Warburg Ensemble, a series of 19th century townhouses that provide the conditions for hosting up to 35 fellows to work on collaborative projects. In addition to residential units, there are rooms for individual and group work, areas for public events, common dining rooms, a library, a public book store, an artists’ studio, and a garden.""

https://thenew.institute/en/about/our-mission ",,,"Warburg, Germany",2021,present,Education & Learning,Economics & Business,Arts & Culture,Research,Education & Training,Events & Retreats,11-20,,,,,,,,,✅
